Everest Bank Limited Con. Pref.,EBLCP,Preferred Stock
Everest Insurance Co. Ltd.,EIC,Non Life Insurance
Excel Development Bank Ltd.,EDBL,Development Banks
First Micro Finance Development Bank Ltd.,FMDBL,Microfinance
Fleur Himalayan Limited,FHL,Manufacturing And Processing
Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD,Microfinance
Ganapati Microfinance Bittiya Sanstha Limited,GMFBS,Microfinance
Gandaki Bikas Bank Limited,GDBL,Development Banks
Garima Bikas Bank Limited,GBBL,Development Banks
Ghalemdi Hydro Limited,GHL,Hydro Power
Ghodighoda Laghubitta Bittiya Sanstha Ltd.,GGBSL,Microfinance
Global IME Bank Limited,GBIME,Commercial Banks
Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance
Global IME Samunnat Scheme-1,GIMES1,Mutual Fund
Goodwill Finance Co. Ltd.,GFCL,Finance
Gorakhkali Rubber Udhyog Limited,GRU,Manufacturing And Processing
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance
Green Development Bank Ltd.,GRDBL,Development Banks
Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Finance
Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Microfinance
Gurans Life Insurance Company Ltd.,GLICL,Life Insurance
Gurkhas Finance Ltd.,GUFL,Finance
Hamro Bikas Bank Ltd.,HAMRO,Development Banks
Harisiddhi Brick And Tiles Limited,HBT,Manufacturing And Processing
Hathway Finance Company Limited,HATH,Finance
Himalaya Urja Bikas Company Limited,HURJA,Hydro Power
Himalayan Bank Limited,HBL,Commercial Banks
Himalayan Distillery Limited,HDL,Manufacturing And Processing
Himalayan Finance Limited (Bittiya Sanstha),HFL,Finance
Himalayan General Insurance Co. Ltd,HGI,Non Life Insurance
Himalayan Power Partner Ltd.,HPPL,Hydro Power
Hydorelectricity Investment and Development Company Ltd,HIDCL,Others
ICFC Finance Limited,ICFC,Finance
IME General Insurance Ltd.,IGI,Non Life Insurance
Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Microfinance
Janaki Finance Ltd.,JFL,Finance
Janata Bank Nepal Ltd.,JBNL,Commercial Banks
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance
Jebils Finance Ltd.,JEFL,Finance
Joshi Hydropower Development Company Ltd,JOSHI,Hydro Power
Jyoti Bikas Bank Limited,JBBL,Development Banks
Jyoti Sinning Mills Limited,JSM,Manufacturing And Processing
Kabeli Bikas Bank Limited,KEBL,Development Banks
Kailash Bikas Bank Ltd.,KBBL,Development Banks
Kalika Microcredit Development Bank Ltd.,KMCDB,Microfinance
Kalika power Company Ltd,KPCL,Hydro Power
Kamana Sewa Bikas Bank Limited,KSBBL,Development Banks
Kanchan Development Bank Limited,KADBL,Development Banks
Kankai Bikas Bank Ltd.,KNBL,Development Banks
Karnali Development Bank Limited,KRBL,Development Banks
Khanikhola Hydropower Co. Ltd.,KKHC,Hydro Power
Kisan Microfinance Bittiya Sanstha Ltd.,KMFL,Microfinance
Kumari Bank Limited,KBL,Commercial Banks
Lalitpur Finance Ltd.,LFC,Finance
Laxmi Bank Limited,LBL,Commercial Banks
Laxmi Equity Fund,LEMF,Mutual Fund
Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance
Laxmi Value Fund-1,LVF1,Mutual Fund
Life Insurance Co. Nepal,LICN,Life Insurance
Lumbini Bikas Bank Ltd.,LBBL,Development Banks
Lumbini General Insurance Co. Ltd.,LGIL,Non Life Insurance
Machhapuchhre Bank Limited,MBL,Commercial Banks
Mahalaxmi Bikas Bank Ltd.,MLBL,Development Banks
Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,Microfinance
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB,Microfinance
Manjushree Finance Ltd.,MFIL,Finance
Mega  Bank Nepal Ltd.,MEGA,Commercial Banks
Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance
Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance
Miteri Development Bank Limited,MDB,Development Banks
Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance
Mountain Hydro Nepal Limited,MHNL,Hydro Power
Muktinath Bikas Bank Ltd.,MNBBL,Development Banks
Multipurpose Finance Company  Limited,MPFL,Finance
Nabil Balance Fund 1,NBF1,Mutual Fund
NABIL BALANCED FUND-2,NBF2,Mutual Fund
Nabil Bank Limited,NABIL,Commercial Banks
Nabil Equity Fund,NEF,Mutual Fund
Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Microfinance
NagBeli LaghuBitta Bikas Bank Ltd.,NBBL,Microfinance
Narayani Development Bank Limited,NABBC,Development Banks
National Hydro Power Company Limited,NHPC,Hydro Power
National Life Insurance Co. Ltd.,NLICL,Life Insurance
National Microfinance Bittiya Sanstha Ltd.,NMFBS,Microfinance
Naya Nepal Laghubitta Bikas Bank Ltd.,NNLB,Microfinance
Neco Insurance Co. Ltd.,NIL,Non Life Insurance
Nepal Agro Laghubitta Bittiya Sanstha Limited,NAGRO,Microfinance
Nepal Bangladesh Bank Limited,NBB,Commercial Banks
Nepal Bank Limited,NBL,Commercial Banks
Nepal Bitumin And Barrel Udhyog Limited,NBBU,Manufacturing And Processing
Nepal Community Development Bank Ltd.,NCDB,Development Banks
Nepal Credit And Commercial Bank Limited,NCCB,Commercial Banks
Nepal Doorsanchar Comapany Limited,NTC,Others
Nepal Film Development Company Limited,NFD,Others
Nepal Finance Ltd.,NFS,Finance
Nepal Hydro Developers Ltd.,NHDL,Hydro Power
Nepal Insurance Co. Ltd.,NICL,Non Life Insurance
Nepal Investment Bank Limited,NIB,Commercial Banks
Nepal Khadya Udhyog Limited,NKU,Manufacturing And Processing
Nepal Life Insurance Co. Ltd.,NLIC,Life Insurance
Nepal Lube Oil Limited,NLO,Manufacturing And Processing
Nepal SBI Bank Limited,SBI,Commercial Banks
Nepal Seva Laghubitta Bittiya Sanstha Ltd.,NSEWA,Microfinance
Nepal Share Markets Ltd.,NSM,Finance
Nepal Tading Limited,NTL,Tradings
Nepal Vanaspati Ghee Udhyog Limited,NVG,Manufacturing And Processing
Nepal Welfare Company Limited,NWC,Tradings
Nerude Laghubita Bikas Bank Limited,NLBBL,Microfinance
Ngadi Group Power Ltd.,NGPL,Hydro Power
NIBL Pragati Fund,NIBLPF,Mutual Fund
NIBL Samriddhi Fund 1,NIBSF1,Mutual Fund
NIC Asia Balanced Fund,NICBF,Mutual Fund
NIC Asia Bank Ltd.,NICA,Commercial Banks
NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture
NIC Asia Growth Fund,NICGF,Mutual Fund
NIDC Development Bank Ltd.,NIDC,Development Banks
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Microfinance
NLG Insurance Company Ltd.,NLG,Non Life Insurance
NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,Microfinance
NMB Bank Limited,NMB,Commercial Banks
NMB Hybrid Fund L-1,NMBHF1,Mutual Fund
NMB Sulav Investment Fund-1,NMBSF1,Mutual Fund
Om Development Bank Ltd.,ODBL,Development Banks
Oriental Hotels Limited,OHL,Hotels
Panchakanya Mai Hydropower Ltd,PMHPL,Hydro Power
Panchthar Power Compant Limited,PPCL,Hydro Power
Pokhara Finance Ltd.,PFL,Finance
Prabhu  Bank Limited,PRVU,Commercial Banks
Prabhu Insurance Ltd.,PRIN,Non Life Insurance
Premier Insurance Co. Ltd.,PIC,Non Life Insurance
Prime Commercial Bank Ltd.,PCBL,Commercial Banks
Prime Life Insurance Company Limited,PLIC,Life Insurance
ProgressiveFinance Limited,PROFL,Finance
Prudential Insurance Co. Ltd.,PICL,Non Life Insurance
Purnima Bikas Bank Ltd.,PURBL,Development Banks
Radhi Bidyut Company Ltd,RADHI,Hydro Power
Raghupati Jute Mills Limited,RJM,Manufacturing And Processing
Rairang Hydropower Development Company Ltd.,RRHP,Hydro Power
Rastriya Beema Company Limited,RBCL,Non Life Insurance
RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL,Hydro Power
Reliance Finance Ltd.,RLFL,Finance
Ridi Hydropower Development Company Ltd.,RHPC,Hydro Power
RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC,Microfinance
RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,Microfinance
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL,Microfinance
Sagarmatha Insurance Co. Ltd.,SIC,Non Life Insurance
Sahara Bikas Bank Ltd.,SHBL,Development Banks
Sahayogi Bikas Bank Limited,SBBLJ,Development Banks
Salt Trading Corporation,STC,Tradings
Samata Microfinance Bittiya Sanstha Ltd.,SMATA,Microfinance
Samjhana Finance Co. Ltd.,SFC,Finance
Samriddhi Finance Company Limited,SFCL,Finance
Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL,Microfinance
Sana Kisan Bikas Bank Ltd,SKBBL,Microfinance
Sanima Bank Limited,SANIMA,Commercial Banks
Sanima Bank Limited Debenture,SAND2085,Corporate Debenture
Sanima Equity Fund,SAEF,Mutual Fund
Sanima Mai Hydropower Ltd.,SHPC,Hydro Power
SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL,Hydro Power
Saptakoshi Development Bank Ltd,SAPDBL,Development Banks
Shangrila Development Bank Ltd.,SADBL,Development Banks
Shikhar Insurance Co. Ltd.,SICL,Non Life Insurance
Shine Resunga Development Bank Ltd.,SHINE,Development Banks
SHIVAM CEMENTS LTD,SHIVM,Manufacturing And Processing
Shree Bhrikuti Pulp And Paper Limited,SBPP,Manufacturing And Processing
Shree Investment Finance Co. Ltd.,SIFC,Finance
Shree Ram Sugar Mills Limited,SRS,Manufacturing And Processing
Shrijana Finance  (Bittaya Sanstha),SFFIL,Finance
Siddhartha Bank Limited,SBL,Commercial Banks
Siddhartha Equity Fund,SEF,Mutual Fund
Siddhartha Equity Orineted Scheme,SEOS,Mutual Fund
Siddhartha Insurance Ltd.,SIL,Non Life Insurance
Siddhartha Investment Growth Scheme - 2,SIGS2,Mutual Fund
Siddhartha Investment Growth Scheme-1,SIGS1,Mutual Fund
Sindhu Bikash Bank Ltd,SINDU,Development Banks
Soaltee Hotel Limited,SHL,Hotels
Sparsha Laghubitta Bittiya Sanstha Limited,SPARS,Microfinance
Standard Chartered Bank Limited,SCB,Commercial Banks
Summit Laghubitta Bittiya Sanstha Limited,SMFDB,Microfinance
Sunrise Bank Limited,SRBL,Commercial Banks
Support Microfinance Bittiya Sanstha Ltd.,SMB,Microfinance
Surya Life Insurance Company Limited,SLICL,Life Insurance
Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS,Microfinance
Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,Microfinance
Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS,Microfinance
Swadeshi Laghubitta Bittiya Sanstha Ltd.,SDESI,Microfinance
Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL,Microfinance
Synergy Finance Ltd.,SYFL,Finance
Synergy Power Development Ltd.,SPDL,Hydro Power
Taragaon Regency Hotel Limited,TRH,Hotels
Tinau Mission Development Bank Limited,TMDBL,Development Banks
Unilever Nepal Limited,UNL,Manufacturing And Processing
Union Hydropower Limited,UNHPL,Hydro Power
United Finance Ltd.,UFL,Finance
United Insurance Co. (Nepal) Ltd.,UIC,Non Life Insurance
United Modi Hydropower Ltd.,UMHL,Hydro Power
UNIVERSAL POWER COMPANY LTD,UPCL,Hydro Power
UNNATI LAGHUBITTA BITTIYA SANSTHA LIMITED,UMB,Microfinance
Upper Tamakoshi Hydropower Ltd,UPPER,Hydro Power
Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance
Western Development Bank Limited,WDBL,Development Banks
Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance
Yak And Yeti Hotel Limited,YHL,Hotels
